row_id,id,subject,cached_question_tag_list
32,1196471,Why is Head of Household not showing as a choice,dependents
33,1681509,"Has anyone who filed for the higher education credits (form 8863) received their refund, or at least direct deposit date?",credits
35,1162210,"I have a new PIN, but it keeps saying it can't confirm my identity. What do I do?",electronic filing
38,1178122,"I went to IRS site and found form 8839, but I did not see any where they are requiring you to file it by mail. It did say that the software should be able to process the returns and the easiers and quickiest way to file should be e-file.",electronic filing
39,1466445,in box 7 only # 7 is shown . how to enter?,retirement
40,1272168,federal return rejected cause they say someone calimed me or my spouse already but irs says theres nothing on file from my return,electronic filing
41,1345142,Return still in pending,electronic filing
42,1748167,For people with a DDD (send date) of March 6th - let us know when you get it,irs
44,1353386,Roll call for the 1/31 still processing crew and those with the SBBT message.,electronic filing
46,1491963,when wil the IRS start accepting returns in 2013,electronic filing
47,1705142,"Has anyone been ""APPROVED"" that claimed the Education Credit? <3",irs
52,1674523,Has any filers with 8863 from acceptance on Jan 25 or earlier hear anything yet?,credits
53,1276430,Why am I being charged for the free edition,electronic filing
54,1161795,can you take fee out of return,electronic filing
55,1461212,Form 8862,electronic filing
58,1249525,church donation deduct,dependents
59,1711384,Has anybody gotten an email from turbotax that say account debit pending that filed with an education credit. because i did but the irs tells me my info is still being process,irs
60,1490461,IRS Audit - Excess Social Security Tax Withheld,dependents
61,1335098,"I ammended my return, but when I go to print it to send to the IRS, it has 'Form Not Final - Do Not File' written all over it. How do I get a final copy to mail in?",print
63,1414596,"Same IRS Pin, still rejected!",electronic filing
64,1705919,"NO DDD FORM 8863 as of today, 2/21/13",irs
66,1541183,"I have heard that: IRS Efile News -- Delayed processing of Form 8863, has anyone heard about this? Are they delaying refunds if you filed form 8863?",education expenses
67,1206613,Why do so many people think that e-filing taxes is going to be free? I'm sick of seeing all the whiners on here. It cost me less than 70 bucks to get over 2000 dollars back and it took me all of 15 minutes. Do it on paper and go mail it whiners.,print
69,1334708,did not live togethet all of 2010,dependents
70,1358272,I still have not been accepted as of 10pm cst and was transmitted to the irs on the 13th someone help me please!!!!!!,electronic filing
73,1583311,Please post HERE if and when your status change tonight/morning (2/2/13),electronic filing
75,1267905,can't print 2011 return,print
76,1179038,duplicate ssn a tax return with the same ssn has already been submitted,electronic filing
78,1210910,Why are they deducting what i owe state from my federal refund even though i am not filing state at this time,electronic filing
79,1485394,can i come back and print my tax returns after I file,print
80,1239441,isn't it free to file federal returns,electronic filing
81,1175228,"my ex girlfriend and i broke up in march,she married someone else in june, we have a 2 1/2 year old son, that i have claimed ,and gotten eic for, for both years since she didn't work. we have 50/50 custody, with no court order regarding taxes,neither one",electronic filing
82,1254105,how did i just get charged $57 for what - in the beginning - was going to cost me $20 and i said i did NOT want to efile a state return since i dont even GET a state return?????,electronic filing
85,1609239,I filed my MN state return on 1/28 and it still has not been accepted by Turbo Tax or MN Revenue.  Is anyone else having this problem?,electronic filing
86,1564198,Distressing email about higher education tax credits!!!,education expenses
87,1434957,"i clicked the wrong button to enter my pin, but i didnt file in 2009. How do i go back and click the right one?",electronic filing
88,1256836,Why is the IRS rejecting seniors who qualify for EIC?,electronic filing
90,1184771,Roth IRA conversion from non deductible IRAs,retirement
91,1473544,how to file when spouse has no SSN or ITIN,dependents
93,1158691,Are the tax rates payable on my Social Security income the same as the tax rates on my ordinary income and investment income?,dependents
94,1355080,how do i tell turbotax that my 401k rollover was to a regular IRA and NOT a Roth IRA?,retirement
95,1385564,What do I need to claim my medical co-payments and hospital bills,dependents
96,1487458,"Rent income over $3,100, why is turbo tax saying we recieve the EIC?",investments
97,1287325,turbo tax says deposit by the 4th?irs says by the 8th? sbbt says the 11th?  who is correct.  Filed and accepted on the 27th.,electronic filing
98,1785668,IRS Letter 4883C:,irs
99,1529879,EFILED FEDERAL TAX RETURN HAS BEEN ACCEPTED EARLY BY IRS,electronic filing
100,1743160,cp05 letter from irs,irs
103,1608811,Has anyone received their GA state tax refund yet? Mine was accepted Feb 1st and still no DD???,electronic filing
104,1314586,I still need to know the answer why IRS can not see the amount reported. How do I know that I suppose to enter the total amount on Turbotax?,dependents
106,1610206,"I filed on 2/2/2013, has anybody received a dd",electronic filing
107,1273884,Keep getting rejected due to incorrect PIN or AGI,electronic filing
109,1430450,Taxing 1099-Q 529 Plan Income,education expenses
111,1491023,why won't turbo tax print?,print
112,1313122,check local church considered charitable donation,dependents
113,1361043,Did anyone get the message Your Transmission Didn't Go Through when attempting to efile ???,electronic filing
115,1159863,I am paying the $29.95 for filing and another 29.95 fee for filing??,electronic filing
116,1235400,trying to pay using my federal refund but it says i dont have one. if so y do i owe 224 for a federal tax if i have no federal refund?,print
117,1151698,The hidden charges are ridiculous. From previous posts I see that somewhere I was asked to upgrade to deluxe and chose yes instead of no.....can someone tell me where this is? I guess I should have figured there would be some sort of money making scheme,electronic filing
118,1455855,ARe thrift shop purchases considered charitable donations,dependents
119,1337842,"Anyone get accepted and filed on the 13, dont seem like anyone has..",electronic filing
120,1223932,Recvd 1099A with box 5 marked no - but still showing $28600 gain on sale,investments
121,1387006,Can I email the return to myself?,electronic filing
127,1226529,5405 First Time Home Buyer's Credit: Keeping in Touch,credits
130,1696509,Spoke to IRS re: Tax Form 8863 return processing delays & expected refund date....,education expenses
135,1710042,8863ers ddd!!!!,irs
136,1207071,i filed with turbo tax last year how do i get them to enter my pin #,electronic filing
137,1246043,Has anyone that has had to payback the first time home buyers credit experinced a delay on their return,electronic filing
139,1350518,Divoraced seperated,dependents
140,1409954,i used turbo tax last year where can i recieve my agi pin ?,electronic filing
144,1287411,e-file question about filing a depended.,dependents
145,1292795,Getting very nerveous! People who filed after me have been accepted! I need the $ by the 27th or they take my vehicle!,electronic filing
148,1908336,How can I access my 2012 tax return?,print
150,1746993,To anyone that gets a DD after getting a CP05 reveiw letter please post here.,irs
151,1388055,Where is my refund states there is a processing delay,electronic filing
154,1646227,Has Anyone with a 1/31/2013 acceptance date in OHIO Received Their REFUND? also Anyone with a 2/13/2013 deposite date?,electronic filing
155,1514940,I put my cell phone in as phone # it Is the only phone I have. It won't let me go to the next page,dependents
156,1876775,Anyone else having a lot of issues  with Turbo Tax Freezing!!! I have never had so many problems.,business
158,1639252,FYI: Update on form 8863 Education & 4562 Depriciation/Amortization,electronic filing
160,1703064,ATTENTION ALL 8863'ers,business
161,1324843,Can i use last years e-filing PIN?,electronic filing
162,1490128,can I claim my boyfriend as a dependent,dependents
165,1711043,Just received an email the said the irs adjusted my refund and it is not enough to pay the 32 dollars to turbo tax! My return is well above that but the irs is reviewing it. Should I be worried,irs
167,1611105,Has anyone in nc recieved their tax refund yet?,electronic filing
168,1158408,i did not get my refund on the due date,electronic filing
170,1222886,E-filing past deadline,electronic filing
172,1161529,"What is the best filing status if you got married on December 24, 2011?",dependents
173,1271611,I guarantee that for 96 dollars I will NEVER use this software again.,electronic filing
174,1487954,IRS Audit - excess Social Security Tax Withheld - continue,dependents
175,1346133,I receive a monthly payment on my rtirement,retirement
176,1388391,Prior to 2011 a person could claim EIC Credit without claiming the person as a dependent. Does that hold true for 2011?,dependents
177,1277814,how do i collect the eic for a child i am not claiming as a dependent?,dependents
179,1498785,Deluxe E-File for State?,electronic filing
180,1424806,"I pay a mortgage on a property I rent to two different renters - one person rents a single-family home and a second rents farm ground. Do I need to divide the mortgage interest deduction in this case, or just attribute it all to the house rental?",investments
181,1417143,"Thought just a Federal return was free, why am I being asked to pay before I print or save?",print
182,1396169,RSU W-2,investments
183,1311226,Disposition of car used for personal and multiple businesses: biz use % varies yearly,self-employment (schedule c)
187,1300223,how can I get this fixed? nondependent child?,dependents
189,1543747,Does anyone else return say this. Your federal return is lined up for processing. .,electronic filing
191,1281000,why wont it let me enter vehicle expenses?,self-employment (schedule c)
193,1703518,"I just spoke to the IRS, and they stated that the WMR is updating and DD dates will be on the site tomorrow. I got my DD date for the 25th of Feb and I filed on the 3rd and was accepted on the 14th. Hopes this helps someone",irs
195,1389751,Why is my home office deduction less this year than last year?,self-employment (schedule c)
196,1215499,"Efile Rejection 0245: Form 3800 Equals ""X"", Form 3800 Must be Present",self-employment (schedule c)
197,1205051,DO I SIGN MY 2010 RETURN WITH THE E-FILING PIN I GOT FROM THE IRS OR MAKE UP A NUMBER,electronic filing
198,1427380,"I converted all of my traditional IRA to a Roth. All of the traditional IRA was non-deductible when put in the IRA, and the cost basis was more than the conversion. Will I pay tax on the conversion? Or do I have to enter info somewhere?",retirement
200,1326850,DID ANYBODY GET THERE REFUND TODAY...March 1,electronic filing
202,1154105,Refund delay?..,print
204,1308128,Can't enter interest income from 1099,dependents
207,1485573,forgot my pin. how do I retrive it?,electronic filing
208,1708654,So now what does THIS mean?????,credits
210,1357815,TURBO TAX IS A SCAM!,print
211,1352295,"My spouse does not have SSC and ITIN, can we leave SSN blank and file return as ""married filing separately""? Will IRS accept this return?",dependents
212,1209858,can i claim a boyfriend or a friend,dependents
213,1302294,MLP Sale Final K-1 & 1099-B causing duplicate capital gains reporting and multiple 8949's,investments
214,1490464,College daughter not elligible to be my dependent?,dependents
215,1213985,can i claim my daugthter if I pay child support,dependents
216,1471785,"hi there, what is the least and highest amount you can claim on your taxes for contributions",dependents
217,1484855,"Is there anyway to import more than 3,000 transactions from Schwab?",investments
218,1432916,my daughter lives in another state she made 7300 this year but i paid about 80% of her expenses can i file head of household?,dependents
219,1321315,"I want to electronically file my return, but it has the Consent to use Tax return information signed and dated and the direct deposit information all there. Which will happen??",electronic filing
220,1286246,"Turbo tax is a scam, i asked for free and they charge I ask them not to this and they do that, never again willi use turbo tax, and im telling all my friends not to use it also",print
221,1262981,Employer pays flat per diem rate for meals and incidental expenses regardless of where in the country they send me. I've been told that allowable rates change based on location. How can I deduct the difference?,self-employment (schedule c)
223,1296544,WHAT TIME ON THE 6 TH CAN YOU FILE,electronic filing
225,1401522,Qualified 529 distribution showing as taxable???,education expenses
226,1349815,Child and Dependent Care Credit - My wife is self-employed and did not take draw an income for 2011. Does this mean that we absolutely do not qualify for the child and dependent care credit deduction?,dependents
227,1308343,I can NOT get my return to print.,print
228,1148861,WHY AM I BEING CHARGED OF A free TURBO TAX,electronic filing
229,1394627,Does an adopted child not qualifying as a dependent need an ITIN?,print
230,1728195,I e-filed my return and claimed my son that I have claimed for the past 12 yrs with the same ssn. Now the Irs has rejected my return saying the ssn is wrong. Its the same I have used before so how can it be wrong now if it has never been before?,irs
231,1179102,I need a copy of e 2106 form for my bank. How do I print what I don't even see in my taxes?,electronic filing
233,1373415,WHEN WILL THE IRS PROCESS MY RETURN I WAS SUPPOSE TO RECIEVE MY REFUND MARCH 4TH ? CAN ANYBODY GIVE ME INFO,electronic filing
234,1475816,TURBO TAX IS SAYING MY DISABLED DAUGHTER IS NOT A DEPENDENT WHY?,dependents
235,1489657,capital gain calculation grossly incorrect,investments
236,1682593,1/24 & 1/28 delayed returns***letter 5071C integrity & verification operations,irs
237,1695892,I was supposedly accepted by irs on 1/25/2013....today is 2/19/2013 and WMR changed the message for me last week to still processing will give a dd date when available?,irs
240,1492987,"The 2012 Turbotax program does not treat my < 18 year old son as a dependent, which it should.  Is there a bug in the program for 2012?",dependents
242,1500527,"This is saying my senior in college cannot deduct books and other materials because either not full time, not first four years of college, or felony drug conviction.  I assure she is full-time, is in her fourth year, and does not have a drug confiction???",education expenses
244,1821125,"""YOU MUST FIX ERRORS ON THIS PAGE BEFORE CONTINUING"" there are no errors, what does it want?",electronic filing
248,1290662,The TurboTax app says I converted to a Roth IRA this year when in fact I did not. How can I correct this error?,retirement
251,1493117,Can I Efile without entering Charity Addresses?,electronic filing
252,1206228,IRS has not deducted money from the bank - What is that I need to do ?,electronic filing
254,1492616,I was sent a notice from the IRS for additional tax and interest due for a 401k disbursement that was reported but no taxes were withheld.  The IRS states that premature distributions from a qualified retirement plan are subject to an additional 10% tax.,retirement
256,1232125,"Last year I filed for free, why not this year?",electronic filing
257,1689000,8863 ers with a DD yet?,electronic filing
258,1460815,Why is block 16a different than block 16b for my military retirement?,retirement
259,1172325,why when i type the letters it don't give me contuie button,electronic filing
260,1462454,How can i get the Refund Processing Service Fee waved,electronic filing
263,1241051,"My E-filed tax return has been rejected 3 times now. I have the proper PIN and AGI, I have spoken to numerous representatives, and I am still being rejected. What is the problem?????",electronic filing
266,1687812,has any one with college credits that had been accepted on the 14th got a DD yet ?,credits
267,1806907,The IRS has charged me for not filing the proper information for my 2011 tax return.  My TurboTax records show that I filed correctly.  Please advise.  Thank-you,irs
269,1423447,"I've entered my mutual fund redemptions -- all single-category, average cost, and long term. Why is Turbo Tax showing them all as short-term capital gains and losses on Form 8949? I know the form isn't finalized yet but the data needs to be in Part II.",investments
270,1198760,I want to enter my AGI,electronic filing
271,1212388,I am having trouble I dont know my pin # to e fil,electronic filing
272,1495808,can you claim a pet,dependents
275,1175051,Return Rejected for form 5405...X greater then 0 error,electronic filing
276,1194325,does turbo tax give audit support for underpayment/ deficiencey?,dependents
277,1150078,Traditional IRA (paid for post tax) recharacterized to Roth IRA in same year - how do I deduct?,retirement
279,1886119,Where's My Amended Return?,irs
280,1243448,im legaly blind in one eye do i qualify for a tax deduction,dependents
282,1471593,I am a custodial parent but the other parent claims the dependent exemption on his return. I only claimed dependent care expenses for the child and my return was rejected. Am I not allowed to even though I actually pay?,electronic filing
287,1507192,i was told if your retired and receive social security that you don't count your social security  as income,retirement
288,1158548,I haven't received any 1099s from anyone. How do we get these forms?,dependents
289,1179896,New Jersey 2011 return pending,electronic filing
291,1394191,"I keep checking I got $250. stimulus but, program keeps rejecting it",electronic filing
292,1209366,NO Date,electronic filing
295,1713982,Anyone else in the same situation? If so any new info?,irs
296,1453121,"According to Turbotax, if my dependent son makes more than $3700, I cannot claim him as a dependent. Even though he is a full time student, 19 years old and live at home. Turbotax keeps saying he cannot be claimed as a dependent because of his earnings.",dependents
297,1305681,How can I electronically send returns once I have reached my limit?,electronic filing
300,1357158,For EIC / Dependent Care only,dependents
301,1396074,Why do I have to pay for turbo tax FREE Edition????? I did the 1040ez?????,electronic filing
303,1260916,Why didn't TurboTax compute my taxable social security benefit?,retirement
304,1386362,do you really need an bank account ??,electronic filing
305,1167742,why does it say not eligible for e-filing,electronic filing
306,1162894,"If I have not filed yet, do I still have to pay? I did not realize how expensive it was for just state filing alone....",print
307,1408914,Getting a Schedule E error on sell of rental property,electronic filing
309,1491356,The one time special depreciation allowance fully depreciates the entire cost of my new rental appliance. Is this right? I thought from previous years that the one time counted for 50%?,investments
310,1257120,2009 1040 not filed per IRS,electronic filing
312,1355175,Why is the status of my disabled son who lives me all year showing as no entry,dependents
316,1373131,"I e-filed my returns on 1/13 & still pending, why is it that people who filed after me got accepted? I thought it was transmitting in order received???",electronic filing
317,1431506,why doesnt it show the 2400 dollar deduction on my unemployment,electronic filing
318,1165011,Schedule M disallowed,credits
319,1365461,where can i deduct the fees paid to a company to run my internet advertising,self-employment (schedule c)
320,1207261,you should have my pin from last year,electronic filing
321,1424354,why did't turbo tax calclate my self employment tax?,self-employment (schedule c)
322,1423590,Conventional IRA rolled over to didfferent company and then converted to Roth IRA.,investments
323,1321704,WHAT IS THE TURBO TAX FEES,electronic filing
324,1274859,Non-Deductible IRA conversion to Roth IRA 2010,retirement
325,1273849,I'm separated but not divorced. do i have to claim married filing single,dependents
329,1706714,Another Update Got off the phone with irs and i filed 1/18 accepted 1/24,irs
332,1551385,I wanted to start a thread for those of us that claimed the education credit and were already accepted,education expenses
333,1428554,"I have a capital loss carryover from 2009, but it will not take the 3000 off 2010 tax return",investments
335,1463315,"Online Updating says it is up to date, but it says that I still need to update.",electronic filing
336,1161237,has anyone's refund date changed as of this morning?,electronic filing
338,1835381,Anybody get a return after 5071C and Id Verification?,irs
341,1366846,Why is it asking me to correct my schedule C-EZ-T when I am not filing one?,electronic filing
343,1712345,Turbo tax insufficient refund email?,irs
345,1424909,I am a qualifying widower with children,dependents
347,1248751,I paid for Turbo Tax why are they charging me now,electronic filing
348,1708140,"Tracker that displays progress through 3 stages: (1) Return Received, (2) Refund Approved and (3) Refund Sent.  Nos it just says my return is still being processed.  Anyone else lose the tracker?",irs
349,1744291,Where do I report capital loss on sale of house?,business
353,1487402,Having problem efiling checked update and program is updated. but can't efile,electronic filing
354,1490504,I need a copy of my 2011 ferderal income tax,dependents
355,1417975,form 1099-R- NYS & Local Employees Retirement System,retirement
356,1346634,Dependent eligibility - full-time college student that earned more than $3700 last year,dependents
357,1257566,"I am married filing jointly with AGI of $37,600 with one child. Why is Turbo Tax dissallowing the Earned Income Credit? The EIC table says I should get appx $460.",print
358,1495648,Can Step-mom claim my son ?,dependents
359,1410963,"If a spouse died in 2009, can I submit electronically via Turbotax?",electronic filing
360,1405887,I'm getting stuck in a loop when trying to efile my Massachusetts returns - it keeps bringing me back to the Federal errors. How can I efile just my MA state return?,electronic filing
369,1447025,Partial Lump-Sum Payment on Mississippi employees retiring under PERS is NOT taxable on state tax return,retirement
370,1215604,Inherited IRA bug,retirement
371,1475449,will i get my refund on the Jan 25 or Feb 1,electronic filing
372,1352580,my refund was rejected because my e-filing PIN or 2009 adjusted gross income didn't match. So which one is it the pin or the wages.,electronic filing
373,1195665,"Getting erroneous message that I cannot deduct home office becase deduction is greater than net income, but in fact it is not?",self-employment (schedule c)
374,1282198,my return was accepted on feb 2 but the IRS website still doesnt have my expected return date???,electronic filing
376,1452953,"I use Turbotax since I do not when. But in ""prior year tax files"" from 2000 thru 2008 and 2010 were listed. There is no file for 2009. I file income tax using Turbotax every year. I definitely used Turbotaxfor 2009 also.",dependents
378,1191116,Refund Status,electronic filing
379,1395953,why did i hav to pay for a state efile for $40 when i didnt even get a state return back? i am furious right now! can some1 please help me,electronic filing
383,1843921,"my state return (Indiana) got rejected due to "" # of dependents on Line 2 of Exemptions Schedule 3 (based on dependents amount/1500) can not be greater than the number of SSNs reported on the IN-DEP Schedule""",dependents
387,1493715,"After I input my military retirement  1099 r, my tax liability increases by $3000.  Why is this happening?  It was not like this last year.  Any help would be appreciated.",retirement
390,1464159,where do I enter 1099-b on turbo tax form.,retirement
395,1217353,"""Enter Sale Prices"" for a K1 from a Publicly Traded MLP",investments
397,1218639,Should I receive a 1099-R for every 401K rollover,retirement
398,1270371,Claiming Mileage Expenses as a Church Music Director - 1099 MISC,self-employment (schedule c)
401,1278580,WHATS THE PHONE NUMBER FOR TECH SUPPORT?,electronic filing
404,1239738,"I e-filed, do I need to print and mail my forms?",print
405,1420534,can i deduct mortgage and utilities if i use a home office for my business?,dependents
406,1180672,Longtime Homebuyers Credit,credits
407,1473794,"Is this considered only bills i have yet to pay, bills i have paid or the medical expesses as a whole?",dependents
408,1255171,"how to enter grandchild as qualifying child for eic, not dependent.",dependents
409,1159429,My sons father says he is going to claim my son no matter what. He only is court ordered to see him everyother weekend and 1 day a week (NOT OVERNIGHT) so he never gets him overnight. But he said he is going to claim him and there is nothing I can do?,dependents
411,1422088,Rejected submission - From 3800,dependents
412,1392906,why am I being charged 2 fees of 29.95,electronic filing
413,1422093,Where do I state my dependant was a full time student. She made over 3700 and its telling me she can not be claimed?,dependents
414,1209104,Your transmission didn't go through.  Your internet connection may have been disconnect at the time you transmitted.,electronic filing
415,1434640,i am married but have been seperated from my husband for 2 years can i claim head of household or do i have to claim married filing seperatly,dependents
416,1337109,My (separated) spouse has always claimed my daughter (even though she lives with me). Now that she is 17 and has a job he can't claim her?,dependents
417,1445403,"I sold my bank shares and used the money to help pay for a house, how will this affect any taxes I may have to pay?",dependents
418,1475355,"I was sued this year and settled for $10,000 out of court, do I need to file a 1099 for this?",self-employment (schedule c)
419,1458461,"I made a non-deductible IRA contribution in 2010 using my after tax dollars. I then converted that amount to a Roth IRA. TT is showing that I am being taxed on the full amount that I converted (app. $5,300). Shouldn't I just be taxed on the gains?",retirement
420,1332771,Missing the cost basis,investments
422,1271598,why are you asking for 29.95 if its free,electronic filing
423,1442865,Long term stock how do I calculate,investments
424,1189938,How much do my medical bills have to be to claim them.,dependents
425,1319735,can i print without paying,print
426,1166649,I was rejected stating ss and DOB do not match what they have on file,electronic filing
427,1352003,How to calculate the cost basis for a merger related transaction resulting in exchanged stock and a cash disbursement.,investments
428,1163844,i got accepected today when will it be deposited i cant open the pdf file to look at the pay table or whatever it is?,electronic filing
429,1365828,My return was rejected says I cant use my social security number on two returns? I have not filed two returns and I checked my social with what they have on file and its correct.. Has someone filed a return using my social . Do I need to do anything ?,electronic filing
430,1370442,can i claim my dog?,dependents
431,1259083,Box 10- Dependent Care Benefits,dependents
435,1362005,TT is not accepting ITIN Number 900-95-XXXX,dependents
436,1411159,How do I indicate that a just a portion of a 401k rollover was to a Roth IRA?,retirement
437,1154906,"HELP!! 2010 free edition fed rejected, state paid accepted..cant find it now, its 10/20 and closed and i want to print it to mail it....HELP!!",electronic filing
438,1358938,Form 8839,electronic filing
439,1490786,I need a copy of 2010 tax return,print
440,1381989,Solar electric tax credit for a low income family,credits
441,1248617,"why did i pay for a state return that wasnt filed, ultimately?",electronic filing
442,1336425,FORECLOSURE AND BANKRUPTCY,dependents
444,1377387,Where should I report activity on a husband-wife owned LLC that has only income and expenses from rental activity? The LLC has its' own EIN number,investments
445,1312875,I married in september but my wife is not in the country yet and is not a permanent resident yet,dependents
447,1152891,can i get my tax return deposited directly?,dependents
448,1279365,When will the IRS OK the Turbo Tax e-file form 3800?,self-employment (schedule c)
449,1830022,what does PRTXMED stand for,credits
450,1353608,WHY AM I CHARGED A $29.95 FEE. I THOUGHT BOTH FEDERAL AND STATE WERE FREE.,electronic filing
453,1384341,Who can claim a child as a dependant?,dependents
454,1490581,"Comparing MFJ and MFS; Once I switch to ""forms"", where is the ""add a form"" button???",dependents
456,1317034,Claiming my fiance?,dependents
457,1177002,can i claim head of house hold,dependents
458,1397426,"i help a golf professional with entry fees, motels, etc. i was told he has to declare this as sponsorship income on his schedule c. can i in any way deduct these expenses on my tax return? no partnership has been set up. thanks alan",self-employment (schedule c)
459,1409205,Why does Turbo Tax Premier calculate a long term loss on sale of inherited property sold that was never used for buisness or investment?,investments
460,1413562,"Home office deduction qualifies, but no deduction is given?",self-employment (schedule c)
462,1467590,"i am trying to submit my federal file, and when i called the number given and went through the promps it says that i do not need a pin, and told me to enter 0. I did, and it is not accepting.. what should i do?",electronic filing
464,1350607,Stocks,investments
465,1390547,1098 T.........,education expenses
466,1255637,"I get a ""Please enter the correct information"" in the name box to file with e-file, it is the same everywhere but says it's wrong, and I did e-file last year and every year for the past 10 years with TurboTax and never had this problem, I need help.",electronic filing
468,1387488,Home office problem,self-employment (schedule c)
469,1446370,price quoted to me was 19.95 why 39.95,electronic filing
471,1274342,can i efile and have my money deposited into another persons's checking account?,electronic filing
472,1275369,"my child receives ssi benefits, does this count as providing for his own support?",dependents
473,1192940,why does turbo tax advertise a free basic e-file tax return and then charge 50 dollars to file?,electronic filing
474,1282540,Depreciation deduction causing amount owed to go up not down,self-employment (schedule c)
475,1199598,"separated in sept, not divorced yet, living separately how do I file",dependents
476,1257199,"spouse passed away in 2010, I am filing a joint return, I was able to get a pin for both people, but no block is open so I can enter my husbands pin, only mine, I have also tried to the AGI and leave the pin blank, still get rejected, do I have to mail",electronic filing
477,1286896,"I put in the correct routing number, but it keeps saying my bank does not use it. I know that is wrong because it is used all the time for other transactions. Now what?",electronic filing
478,1215991,Continue button disappears! Please help!,electronic filing
479,1360126,Does TT calculate the taxable portion of my civil service annuity or do I have to do it manually?,retirement
484,1307847,Error message when trying to pay for state efile by credit card?,electronic filing
485,1365592,"Your Transmission Didn't Go Through We could not e-file your return for the following reason: Duplicate Social Security Number: A tax return with the same Social Security number has already been submitted - in other words, it appears you're trying to e-f",electronic filing
486,1254139,"I keep getting rejected Form 8283, NoN cash donations, and form 1098-c Contributions of Motor Vehicles. I have done neither one how do i fix this""",electronic filing
491,1691647,Unable to enter the entirev IRS pin#. One charachter short in program. Whar gives?,irs
497,1810096,Anyone that has used the Injured Spouse form I have a couple questions.  Have you received your return yet?  How does the IRS compute the amounts returned?,electronic filing
501,1400100,how do I change turbotax .,electronic filing
503,1457296,why does it not load?Accept Refund Processing Agreement,electronic filing
505,1677498,"how do I change my answer to ""all investment is at risk""",business
512,1696498,I gave the wrong account number for my refund deposit. What should I do?,irs
514,1617052,My tax return still pending status,electronic filing
516,1161499,the program won't let me file,print
518,1717057,"Filed 1/27, accepted 1/28 (tt), officially accepted 2/15 (w/8863 according to irs), still processing, can't order transcripts,I also have EIC and a large refund...Is anyone else in the same boat? I am getting fed up with this",irs
519,1257274,Federal E-file Rejected due to what appears to be multiple Turbo Tax system errors,electronic filing
520,1331810,"What in the world is going on? TT, IRS, WMR issues",dependents
530,1832278,"We received a notice that our solar-energy credits are limited to $1,500?  We cannot find that limitation anywhere, particularly on Form 5695?",credits
532,1287562,Health Ins from pension,retirement
536,1288919,"It clearly states ""TurboTax File Federal FREE Edition""!! No matter what site you go to for your State E-File, you will have to pay a FEE!!",print
537,1495806,Why is the first time home buyer credit no longer available for 2012?,credits
540,1487151,"I have Full Physical and Legal Custody of my 15 year old son. He lived with me the whole year in 2011, with visitation to the mother. I pay the mother support for the time that my son visit's his mother. She file b4 I did and claimed my son as a deductio",dependents
541,1486902,Do you know if an RMD can be converted from my IRA to my Roth?,retirement
542,1423169,How many people that have a DD date of 2/7 have a DCN # on the printed copy of your federal return? That means processed through the Legacy System.,electronic filing
543,1361730,"IRS e-file rejected do to economic reovery payment in 2010. I selected that we received it and it was rejected, what do I do?!",electronic filing
544,1268076,401(k) Conversion to Roth IRA â€“ Taxable Amount Not Showing in Income,retirement
545,1307253,How do I handle 1099R that I rolled over?,retirement
547,1419158,"How to enter sale of shares after split-off for correct cost basis, if bought originally as ESPP",investments
